"","question_id","series_date","total_n","Somewhat.Approve","Strongly.Approve","Somewhat.Disapprove","Strongly.Disapprove","Don.t.Know...No.Opinion"
"620383","LEG4_John_Moolenaar","2018-05-13T00:00:00.000Z",10,11,15,19,33,22
"620384","LEG4_John_Moolenaar","2018-05-14T00:00:00.000Z",10,33,6,0,0,61
"620385","LEG4_John_Moolenaar","2018-05-15T00:00:00.000Z",19,16,0,30,25,30
"620386","LEG4_John_Moolenaar","2018-05-16T00:00:00.000Z",6,54,0,37,0,9
"620387","LEG4_John_Moolenaar","2018-05-17T00:00:00.000Z",10,15,0,18,18,49
"620388","LEG4_John_Moolenaar","2018-05-18T00:00:00.000Z",8,33,0,0,8,59
"620389","LEG4_John_Moolenaar","2018-05-19T00:00:00.000Z",12,23,0,32,24,21
"620390","LEG4_John_Moolenaar","2018-05-20T00:00:00.000Z",16,13,3,27,15,41
"620391","LEG4_John_Moolenaar","2018-05-21T00:00:00.000Z",14,45,4,12,4,35
"620392","LEG4_John_Moolenaar","2018-05-22T00:00:00.000Z",12,16,0,34,5,45
"620393","LEG4_John_Moolenaar","2018-05-23T00:00:00.000Z",16,15,0,4,37,44
"620394","LEG4_John_Moolenaar","2018-05-24T00:00:00.000Z",12,56,0,14,12,18
"620395","LEG4_John_Moolenaar","2018-05-25T00:00:00.000Z",5,12,0,0,34,54
"620396","LEG4_John_Moolenaar","2018-05-26T00:00:00.000Z",7,45,0,28,0,27
"620397","LEG4_John_Moolenaar","2018-05-27T00:00:00.000Z",12,13,12,0,0,75
"620398","LEG4_John_Moolenaar","2018-05-28T00:00:00.000Z",14,18,0,18,24,40
"620399","LEG4_John_Moolenaar","2018-05-29T00:00:00.000Z",11,10,5,49,12,24
"620400","LEG4_John_Moolenaar","2018-05-30T00:00:00.000Z",11,13,14,21,8,45
"620401","LEG4_John_Moolenaar","2018-05-31T00:00:00.000Z",11,52,0,5,17,25
"620402","LEG4_John_Moolenaar","2018-06-01T00:00:00.000Z",16,20,0,16,17,46
"620403","LEG4_John_Moolenaar","2018-06-02T00:00:00.000Z",16,35,0,21,10,34
"620404","LEG4_John_Moolenaar","2018-06-03T00:00:00.000Z",9,37,0,17,13,33
"620405","LEG4_John_Moolenaar","2018-06-04T00:00:00.000Z",12,24,0,38,5,34
"620406","LEG4_John_Moolenaar","2018-06-05T00:00:00.000Z",15,23,26,5,4,42
"620407","LEG4_John_Moolenaar","2018-06-06T00:00:00.000Z",13,37,13,14,0,35
"620408","LEG4_John_Moolenaar","2018-06-07T00:00:00.000Z",10,13,0,40,23,25
"620409","LEG4_John_Moolenaar","2018-06-08T00:00:00.000Z",11,25,15,17,20,23
"620410","LEG4_John_Moolenaar","2018-06-09T00:00:00.000Z",9,22,0,12,34,32
"620411","LEG4_John_Moolenaar","2018-06-10T00:00:00.000Z",11,30,6,22,0,42
"620412","LEG4_John_Moolenaar","2018-06-11T00:00:00.000Z",13,27,14,19,19,20
"620413","LEG4_John_Moolenaar","2018-06-12T00:00:00.000Z",11,17,16,22,13,32
"620414","LEG4_John_Moolenaar","2018-06-13T00:00:00.000Z",10,0,0,29,15,57
"620415","LEG4_John_Moolenaar","2018-06-14T00:00:00.000Z",4,0,25,0,0,75
"620416","LEG4_John_Moolenaar","2018-06-15T00:00:00.000Z",13,21,0,5,6,69
"620417","LEG4_John_Moolenaar","2018-06-16T00:00:00.000Z",14,17,4,21,13,45
"620418","LEG4_John_Moolenaar","2018-06-17T00:00:00.000Z",12,39,5,0,0,56
"620419","LEG4_John_Moolenaar","2018-06-18T00:00:00.000Z",15,11,5,23,29,32
"620420","LEG4_John_Moolenaar","2018-06-19T00:00:00.000Z",11,39,0,5,12,44
"620421","LEG4_John_Moolenaar","2018-06-20T00:00:00.000Z",13,46,0,0,9,46
"620422","LEG4_John_Moolenaar","2018-06-21T00:00:00.000Z",11,44,0,23,11,22
"620423","LEG4_John_Moolenaar","2018-06-22T00:00:00.000Z",14,16,0,12,45,27
"620424","LEG4_John_Moolenaar","2018-06-23T00:00:00.000Z",16,36,10,6,4,45
"620425","LEG4_John_Moolenaar","2018-06-24T00:00:00.000Z",13,9,0,16,37,38
"620426","LEG4_John_Moolenaar","2018-06-25T00:00:00.000Z",13,24,0,21,17,38
"620427","LEG4_John_Moolenaar","2018-06-26T00:00:00.000Z",10,0,0,44,21,35
"620428","LEG4_John_Moolenaar","2018-06-27T00:00:00.000Z",15,13,13,13,37,25
"620429","LEG4_John_Moolenaar","2018-06-28T00:00:00.000Z",16,21,0,28,8,43
"620430","LEG4_John_Moolenaar","2018-06-29T00:00:00.000Z",13,10,9,15,9,57
"620431","LEG4_John_Moolenaar","2018-06-30T00:00:00.000Z",16,15,0,28,33,24
"620432","LEG4_John_Moolenaar","2018-07-01T00:00:00.000Z",12,25,5,21,9,40
"620433","LEG4_John_Moolenaar","2018-07-02T00:00:00.000Z",10,14,0,7,6,73
"620434","LEG4_John_Moolenaar","2018-07-03T00:00:00.000Z",13,15,0,24,29,32
"620435","LEG4_John_Moolenaar","2018-07-04T00:00:00.000Z",13,18,9,0,27,46
"620436","LEG4_John_Moolenaar","2018-07-05T00:00:00.000Z",9,21,0,13,0,66
"620437","LEG4_John_Moolenaar","2018-07-06T00:00:00.000Z",9,15,0,58,0,27
"620438","LEG4_John_Moolenaar","2018-07-07T00:00:00.000Z",14,31,4,0,21,44
"620439","LEG4_John_Moolenaar","2018-07-08T00:00:00.000Z",9,0,16,28,6,51
"620440","LEG4_John_Moolenaar","2018-07-09T00:00:00.000Z",12,26,0,20,0,54
"620441","LEG4_John_Moolenaar","2018-07-10T00:00:00.000Z",17,12,0,23,27,38
"620442","LEG4_John_Moolenaar","2018-07-11T00:00:00.000Z",12,9,9,24,27,31
"620443","LEG4_John_Moolenaar","2018-07-12T00:00:00.000Z",13,14,6,29,0,52
"620444","LEG4_John_Moolenaar","2018-07-13T00:00:00.000Z",16,16,6,28,33,16
